Cliente;Gerencia_F;subcanal_
cte130;gerencia 7;tiendita
cte131;gerencia 5;tiendita
cte132;gerencia 7;tiendita
cte133;gerencia 2 ;tiendita
cte134;gerencia 2 ;tiendita
cte135;gerencia 6;tiendita
cte136;gerencia 5;tiendita
cte137;gerencia 7;tiendita
cte138;gerencia 2 ;tiendita
cte139;gerencia 2 ;tiendita
cte140;gerencia 3;tiendita
cte141;gerencia 5;tiendita
cte142;gerencia 7;tiendita
cte143;gerencia 2 ;tiendita
cte144;gerencia 5;tiendita
cte145;gerencia 3;tiendita
cte146;gerencia 5;tiendita
cte147;gerencia 1;tiendita
cte148;gerencia 7;tiendita
cte149;gerencia 7;tiendita
cte150;gerencia 4;tiendita
cte151;gerencia 2 ;tiendita
cte152;gerencia 1;tiendita
cte153;gerencia 6;tiendita
cte154;gerencia 6;tiendita
cte155;gerencia 7;tiendita
cte156;gerencia 4;tiendita
cte157;gerencia 3;tiendita
cte158;gerencia 5;tiendita
cte159;gerencia 5;tiendita
cte160;gerencia 6;tiendita
cte161;gerencia 2 ;tiendita
cte162;gerencia 6;tiendita
cte163;gerencia 4;tiendita
cte164;gerencia 6;tiendita
cte165;gerencia 1;tiendita
cte166;gerencia 5;tiendita
cte167;gerencia 1;tiendita
cte168;gerencia 4;tiendita
cte169;gerencia 2 ;tiendita
cte170;gerencia 2 ;tiendita
cte171;gerencia 2 ;tiendita
cte172;gerencia 4;tiendita
cte173;gerencia 6;tiendita
cte174;gerencia 2 ;tiendita
cte175;gerencia 1;tiendita
cte176;gerencia 6;tiendita
cte177;gerencia 2 ;tiendita
cte178;gerencia 3;tiendita
cte179;gerencia 7;tiendita
cte180;gerencia 2 ;tiendita
cte181;gerencia 2 ;tiendita
cte182;gerencia 2 ;tiendita
cte183;gerencia 2 ;tiendita
cte184;gerencia 6;tiendita
cte185;gerencia 4;tiendita
cte186;gerencia 2 ;tiendita
cte187;gerencia 3;tiendita
cte188;gerencia 7;tiendita
cte189;gerencia 4;tiendita
cte190;gerencia 1;tiendita
cte191;gerencia 5;tiendita
cte192;gerencia 2 ;tiendita
cte193;gerencia 5;tiendita
cte194;gerencia 1;tiendita
cte195;gerencia 2 ;tiendita
cte196;gerencia 2 ;tiendita
cte197;gerencia 2 ;tiendita
cte198;gerencia 7;tiendita
cte199;gerencia 1;tiendita
cte200;gerencia 2 ;tiendita
cte201;gerencia 6;tiendita
cte202;gerencia 2 ;tiendita
cte203;gerencia 5;tiendita
cte204;gerencia 1;tiendita
cte205;gerencia 3;tiendita
cte206;gerencia 1;tiendita
cte207;gerencia 2 ;tiendita
cte208;gerencia 2 ;tiendita
cte209;gerencia 7;tiendita
cte210;gerencia 6;tiendita
cte211;gerencia 6;tiendita
cte212;gerencia 2 ;tiendita
cte213;gerencia 5;tiendita
cte214;gerencia 3;tiendita
cte215;gerencia 2 ;tiendita
cte216;gerencia 5;tiendita
cte217;gerencia 7;tiendita
cte218;gerencia 2 ;tiendita
cte219;gerencia 5;tiendita
cte220;gerencia 2 ;tiendita
cte221;gerencia 2 ;tiendita
cte222;gerencia 1;tiendita
cte223;gerencia 2 ;tiendita
cte224;gerencia 3;tiendita
cte225;gerencia 4;tiendita
cte226;gerencia 1;tiendita
cte227;gerencia 2 ;tiendita
cte228;gerencia 6;tiendita
cte229;gerencia 5;tiendita
cte230;gerencia 6;tiendita
cte231;gerencia 2 ;tiendita
cte232;gerencia 6;tiendita
cte233;gerencia 7;tiendita
cte234;gerencia 2 ;tiendita
cte235;gerencia 4;tiendita
cte236;gerencia 6;tiendita
cte237;gerencia 1;tiendita
cte238;gerencia 3;tiendita
cte239;gerencia 1;tiendita
cte240;gerencia 7;tiendita
cte241;gerencia 2 ;tiendita
cte242;gerencia 2 ;tiendita
cte243;gerencia 6;tiendita
cte244;gerencia 2 ;tiendita
cte245;gerencia 2 ;tiendita
cte246;gerencia 5;tiendita
cte247;gerencia 2 ;tiendita
cte248;gerencia 1;tiendita
cte249;gerencia 7;tiendita
cte250;gerencia 2 ;tiendita
cte251;gerencia 6;tiendita
cte252;gerencia 2 ;tiendita
cte253;gerencia 1;tiendita
cte254;gerencia 6;tiendita
cte255;gerencia 7;tiendita
cte256;gerencia 4;tiendita
cte257;gerencia 3;tiendita
cte258;gerencia 2 ;tiendita
cte259;gerencia 4;tiendita
cte260;gerencia 7;tiendita
cte261;gerencia 7;tiendita
cte262;gerencia 3;tiendita
cte263;gerencia 2 ;tiendita
cte264;gerencia 1;tiendita
cte265;gerencia 3;tiendita
cte266;gerencia 2 ;tiendita
cte267;gerencia 4;tiendita
cte268;gerencia 5;tiendita
cte269;gerencia 4;tiendita
cte270;gerencia 5;tiendita
cte271;gerencia 6;tiendita
cte272;gerencia 3;tiendita
cte273;gerencia 2 ;tiendita
cte274;gerencia 6;tiendita
cte275;gerencia 5;tiendita
cte276;gerencia 5;tiendita
cte277;gerencia 5;tiendita
cte278;gerencia 7;tiendita
cte279;gerencia 1;tiendita
cte280;gerencia 1;tiendita
cte281;gerencia 4;tiendita
cte282;gerencia 3;tiendita
cte283;gerencia 3;tiendita
cte284;gerencia 1;tiendita
cte285;gerencia 2 ;tiendita
cte286;gerencia 4;tiendita
cte287;gerencia 2 ;tiendita
cte288;gerencia 7;tiendita
cte289;gerencia 7;tiendita
cte290;gerencia 1;tiendita
cte291;gerencia 3;tiendita
cte292;gerencia 6;tiendita
cte293;gerencia 1;tiendita
cte294;gerencia 4;tiendita
cte295;gerencia 5;tiendita
cte296;gerencia 3;tiendita
cte297;gerencia 1;tiendita
cte298;gerencia 6;tiendita
cte299;gerencia 7;tiendita
cte300;gerencia 2 ;tiendita
cte301;gerencia 2 ;tiendita
cte302;gerencia 6;tiendita
cte303;gerencia 5;tiendita
cte304;gerencia 3;tiendita
cte305;gerencia 2 ;tiendita
cte306;gerencia 6;tiendita
cte307;gerencia 1;tiendita
cte308;gerencia 2 ;tiendita
cte309;gerencia 6;tiendita
cte310;gerencia 6;tiendita
cte311;gerencia 2 ;tiendita
cte312;gerencia 5;tiendita
cte313;gerencia 2 ;tiendita
cte314;gerencia 7;tiendita
cte315;gerencia 1;tiendita
cte316;gerencia 4;tiendita
cte317;gerencia 6;tiendita
cte318;gerencia 2 ;tiendita
cte319;gerencia 1;tiendita
cte320;gerencia 4;tiendita
cte321;gerencia 2 ;tiendita
cte322;gerencia 7;tiendita
cte323;gerencia 6;tiendita
cte324;gerencia 2 ;tiendita
cte325;gerencia 1;tiendita
cte326;gerencia 3;tiendita
cte327;gerencia 7;tiendita
cte328;gerencia 1;tiendita
cte329;gerencia 4;tiendita
cte330;gerencia 5;tiendita
cte331;gerencia 6;tiendita
cte332;gerencia 7;tiendita
cte333;gerencia 2 ;tiendita
cte334;gerencia 2 ;tiendita
cte335;gerencia 6;tiendita
cte336;gerencia 4;tiendita
cte337;gerencia 7;tiendita
cte338;gerencia 7;tiendita
cte339;gerencia 2 ;tiendita
cte340;gerencia 2 ;tiendita
cte341;gerencia 2 ;tiendita
cte342;gerencia 5;tiendita
cte343;gerencia 2 ;tiendita
cte344;gerencia 5;tiendita
cte345;gerencia 6;tiendita
cte346;gerencia 1;tiendita
cte347;gerencia 1;tiendita
cte348;gerencia 7;tiendita
cte349;gerencia 4;tiendita
cte350;gerencia 7;tiendita
cte351;gerencia 7;tiendita
cte352;gerencia 5;tiendita
cte353;gerencia 2 ;tiendita
cte354;gerencia 5;tiendita
cte355;gerencia 4;tiendita
cte356;gerencia 1;tiendita
cte357;gerencia 5;tiendita
cte358;gerencia 6;tiendita
cte359;gerencia 5;tiendita
cte360;gerencia 2 ;tiendita
cte361;gerencia 2 ;tiendita
cte362;gerencia 2 ;tiendita
cte363;gerencia 2 ;tiendita
cte364;gerencia 6;tiendita
cte365;gerencia 4;tiendita
cte366;gerencia 2 ;tiendita
cte367;gerencia 2 ;tiendita
cte368;gerencia 7;tiendita
cte369;gerencia 4;tiendita
cte370;gerencia 7;tiendita
cte371;gerencia 2 ;tiendita
cte372;gerencia 6;tiendita
cte373;gerencia 6;tiendita
cte374;gerencia 1;tiendita
cte375;gerencia 1;tiendita
cte376;gerencia 3;tiendita
cte377;gerencia 5;tiendita
cte378;gerencia 4;tiendita
cte379;gerencia 2 ;tiendita
cte380;gerencia 5;tiendita
cte381;gerencia 1;tiendita
cte382;gerencia 2 ;tiendita
cte383;gerencia 1;tiendita
cte384;gerencia 6;tiendita
cte385;gerencia 4;tiendita
cte386;gerencia 4;tiendita
cte387;gerencia 2 ;tiendita
cte388;gerencia 1;tiendita
cte389;gerencia 2 ;tiendita
cte390;gerencia 3;tiendita
cte391;gerencia 4;tiendita
cte392;gerencia 2 ;tiendita
cte393;gerencia 2 ;tiendita
cte394;gerencia 7;tiendita
cte395;gerencia 4;tiendita
cte396;gerencia 7;tiendita
cte397;gerencia 2 ;tiendita
cte398;gerencia 7;tiendita
cte399;gerencia 7;tiendita
cte400;gerencia 2 ;tiendita
cte401;gerencia 7;tiendita
cte402;gerencia 2 ;tiendita
cte403;gerencia 6;tiendita
cte404;gerencia 6;tiendita
cte405;gerencia 6;tiendita
cte406;gerencia 7;tiendita
cte407;gerencia 2 ;tiendita
cte408;gerencia 7;tiendita
cte409;gerencia 3;tiendita
cte410;gerencia 1;tiendita
cte411;gerencia 4;tiendita
cte412;gerencia 3;tiendita
cte413;gerencia 1;tiendita
cte414;gerencia 2 ;tiendita
cte415;gerencia 5;tiendita
cte416;gerencia 3;tiendita
cte417;gerencia 7;tiendita
cte418;gerencia 2 ;tiendita
cte419;gerencia 5;tiendita
cte420;gerencia 5;tiendita
cte421;gerencia 6;tiendita
cte422;gerencia 4;tiendita
cte423;gerencia 2 ;tiendita
cte424;gerencia 4;tiendita
cte425;gerencia 2 ;tiendita
cte426;gerencia 1;tiendita
cte427;gerencia 6;tiendita
cte428;gerencia 2 ;tiendita
cte429;gerencia 1;tiendita
cte430;gerencia 2 ;tiendita
cte431;gerencia 5;tiendita
cte432;gerencia 1;tiendita
cte433;gerencia 1;tiendita
cte434;gerencia 5;tiendita
cte435;gerencia 4;tiendita
cte436;gerencia 6;tiendita
cte437;gerencia 2 ;tiendita
cte438;gerencia 2 ;tiendita
cte439;gerencia 2 ;tiendita
cte440;gerencia 6;tiendita
cte441;gerencia 5;tiendita
cte442;gerencia 2 ;tiendita
cte443;gerencia 2 ;tiendita
cte444;gerencia 6;tiendita
cte445;gerencia 5;tiendita
cte446;gerencia 7;tiendita
cte447;gerencia 6;tiendita
cte448;gerencia 2 ;tiendita
cte449;gerencia 1;tiendita
cte450;gerencia 3;tiendita
cte451;gerencia 2 ;tiendita
cte452;gerencia 2 ;tiendita
cte453;gerencia 4;tiendita
cte454;gerencia 1;tiendita
cte455;gerencia 1;tiendita
cte456;gerencia 1;tiendita
cte457;gerencia 6;tiendita
cte458;gerencia 6;tiendita
cte459;gerencia 5;tiendita
cte460;gerencia 2 ;tiendita
cte461;gerencia 4;tiendita
cte462;gerencia 7;tiendita
cte463;gerencia 2 ;tiendita
cte464;gerencia 2 ;tiendita
cte465;gerencia 2 ;tiendita
cte466;gerencia 5;tiendita
cte467;gerencia 4;tiendita
cte468;gerencia 5;tiendita
cte469;gerencia 2 ;tiendita
cte470;gerencia 2 ;tiendita
cte471;gerencia 5;tiendita
cte472;gerencia 2 ;tiendita
cte473;gerencia 4;tiendita
cte474;gerencia 4;tiendita
cte475;gerencia 2 ;tiendita
cte476;gerencia 4;tiendita
cte337;gerencia 7;tiendita
cte477;gerencia 3;tiendita
cte478;gerencia 7;tiendita
cte479;gerencia 6;tiendita
cte480;gerencia 3;tiendita
cte481;gerencia 5;tiendita
cte482;gerencia 2 ;tiendita
cte483;gerencia 5;tiendita
cte484;gerencia 5;tiendita
cte485;gerencia 6;tiendita
cte486;gerencia 6;tiendita
cte487;gerencia 4;tiendita
cte488;gerencia 7;tiendita
cte489;gerencia 7;tiendita
cte490;gerencia 7;tiendita
cte491;gerencia 2 ;tiendita
cte492;gerencia 7;tiendita
cte493;gerencia 5;tiendita
cte494;gerencia 5;tiendita
cte495;gerencia 3;tiendita
cte496;gerencia 5;tiendita
cte497;gerencia 4;tiendita
cte498;gerencia 3;tiendita
cte499;gerencia 5;tiendita
cte500;gerencia 5;tiendita
cte501;gerencia 2 ;tiendita
cte502;gerencia 2 ;tiendita
cte503;gerencia 2 ;tiendita
cte504;gerencia 7;tiendita
cte505;gerencia 1;tiendita
cte506;gerencia 1;tiendita
cte507;gerencia 2 ;tiendita
cte508;gerencia 3;tiendita
cte509;gerencia 2 ;tiendita
cte510;gerencia 1;tiendita
cte511;gerencia 2 ;tiendita
cte512;gerencia 2 ;tiendita
cte513;gerencia 7;tiendita
cte514;gerencia 6;tiendita
cte515;gerencia 2 ;tiendita
cte516;gerencia 3;tiendita
cte517;gerencia 7;tiendita
cte518;gerencia 7;tiendita
cte519;gerencia 4;tiendita
cte520;gerencia 4;tiendita
cte521;gerencia 7;tiendita
cte522;gerencia 3;tiendita
cte523;gerencia 2 ;tiendita
cte524;gerencia 7;tiendita
cte525;gerencia 6;tiendita
cte526;gerencia 6;tiendita
cte527;gerencia 6;tiendita
cte528;gerencia 2 ;tiendita
cte529;gerencia 4;tiendita
cte530;gerencia 7;tiendita
cte531;gerencia 2 ;tiendita
cte532;gerencia 3;tiendita
cte533;gerencia 7;tiendita
cte534;gerencia 4;tiendita
cte535;gerencia 6;tiendita
cte536;gerencia 5;tiendita
cte537;gerencia 7;tiendita
cte538;gerencia 2 ;tiendita
cte539;gerencia 7;tiendita
cte540;gerencia 7;tiendita
cte541;gerencia 7;tiendita
cte542;gerencia 1;tiendita
cte543;gerencia 1;tiendita
cte544;gerencia 2 ;tiendita
cte545;gerencia 5;tiendita
cte546;gerencia 4;tiendita
cte547;gerencia 2 ;tiendita
cte548;gerencia 1;tiendita
cte549;gerencia 6;tiendita
cte550;gerencia 6;tiendita
cte551;gerencia 4;tiendita
cte552;gerencia 2 ;tiendita
cte553;gerencia 2 ;tiendita
cte554;gerencia 5;tiendita
cte555;gerencia 2 ;tiendita
cte556;gerencia 5;tiendita
cte557;gerencia 2 ;tiendita
cte558;gerencia 4;tiendita
cte559;gerencia 7;tiendita
cte560;gerencia 4;tiendita
cte561;gerencia 3;tiendita
cte562;gerencia 4;tiendita
cte563;gerencia 1;tiendita
cte564;gerencia 7;tiendita
cte565;gerencia 5;tiendita
cte566;gerencia 3;tiendita
cte567;gerencia 4;tiendita
cte568;gerencia 2 ;tiendita
cte569;gerencia 2 ;tiendita
cte506;gerencia 1;tiendita
cte570;gerencia 2 ;tiendita
cte571;gerencia 7;tiendita
cte572;gerencia 2 ;tiendita
cte573;gerencia 6;tiendita
cte574;gerencia 1;tiendita
cte575;gerencia 2 ;tiendita
cte576;gerencia 4;tiendita
cte577;gerencia 7;tiendita
cte578;gerencia 3;tiendita
cte579;gerencia 3;tiendita
cte580;gerencia 6;tiendita
cte581;gerencia 6;tiendita
cte582;gerencia 1;tiendita
cte583;gerencia 4;tiendita
cte584;gerencia 6;tiendita
cte585;gerencia 2 ;tiendita
cte586;gerencia 6;tiendita
cte587;gerencia 5;tiendita
cte588;gerencia 6;tiendita
cte589;gerencia 6;tiendita
cte590;gerencia 5;tiendita
cte591;gerencia 2 ;tiendita
cte592;gerencia 7;tiendita
cte593;gerencia 6;tiendita
cte594;gerencia 1;tiendita
cte595;gerencia 2 ;tiendita
cte596;gerencia 6;tiendita
cte597;gerencia 7;tiendita
cte598;gerencia 5;tiendita
cte599;gerencia 2 ;tiendita
cte600;gerencia 7;tiendita
cte601;gerencia 7;tiendita
cte602;gerencia 6;tiendita
cte603;gerencia 5;tiendita
cte604;gerencia 6;tiendita
cte605;gerencia 6;tiendita
cte606;gerencia 2 ;tiendita
cte607;gerencia 7;tiendita
cte608;gerencia 4;tiendita
cte609;gerencia 7;tiendita
cte610;gerencia 7;tiendita
cte611;gerencia 4;tiendita
cte612;gerencia 6;tiendita
cte613;gerencia 1;tiendita
cte614;gerencia 2 ;tiendita
cte615;gerencia 6;tiendita
cte616;gerencia 7;tiendita
cte617;gerencia 5;tiendita
cte618;gerencia 2 ;tiendita
cte619;gerencia 2 ;tiendita
cte620;gerencia 5;tiendita
cte621;gerencia 2 ;tiendita
cte622;gerencia 4;tiendita
cte623;gerencia 4;tiendita
cte624;gerencia 6;tiendita
cte625;gerencia 2 ;tiendita
cte626;gerencia 7;tiendita
cte627;gerencia 4;tiendita
cte628;gerencia 7;tiendita
cte629;gerencia 4;tiendita
cte630;gerencia 6;tiendita
cte631;gerencia 7;tiendita
cte632;gerencia 6;tiendita
cte633;gerencia 4;tiendita
cte634;gerencia 6;tiendita
cte635;gerencia 6;tiendita
cte636;gerencia 6;tiendita
cte637;gerencia 7;tiendita
cte638;gerencia 2 ;tiendita
cte639;gerencia 7;tiendita
cte640;gerencia 2 ;tiendita
cte641;gerencia 1;tiendita
cte642;gerencia 2 ;tiendita
cte643;gerencia 5;tiendita
cte644;gerencia 2 ;tiendita
cte645;gerencia 3;tiendita
cte646;gerencia 7;tiendita
cte647;gerencia 3;tiendita
cte648;gerencia 1;tiendita
cte649;gerencia 2 ;tiendita
cte650;gerencia 4;tiendita
cte651;gerencia 6;tiendita
cte652;gerencia 6;tiendita
cte653;gerencia 7;tiendita
cte654;gerencia 1;tiendita
cte655;gerencia 3;tiendita
cte656;gerencia 1;tiendita
cte657;gerencia 2 ;tiendita
cte658;gerencia 5;tiendita
cte659;gerencia 1;tiendita
cte660;gerencia 7;tiendita
cte661;gerencia 6;tiendita
cte662;gerencia 7;tiendita
cte663;gerencia 2 ;tiendita
cte664;gerencia 3;tiendita
cte665;gerencia 7;tiendita
cte666;gerencia 4;tiendita
cte667;gerencia 7;tiendita
cte668;gerencia 6;tiendita
cte669;gerencia 6;tiendita
cte670;gerencia 6;tiendita
cte60;gerencia 4;tiendita
cte671;gerencia 7;tiendita
cte672;gerencia 7;tiendita
cte673;gerencia 2 ;tiendita
cte674;gerencia 5;tiendita
cte675;gerencia 1;tiendita
cte676;gerencia 6;tiendita
cte677;gerencia 2 ;tiendita
cte678;gerencia 1;tiendita
cte679;gerencia 7;tiendita
cte680;gerencia 6;tiendita
cte681;gerencia 6;tiendita
cte682;gerencia 4;tiendita
cte683;gerencia 2 ;tiendita
cte684;gerencia 5;tiendita
cte685;gerencia 6;tiendita
cte686;gerencia 6;tiendita
cte687;gerencia 5;tiendita
cte688;gerencia 2 ;tiendita
cte689;gerencia 2 ;tiendita
cte690;gerencia 1;tiendita
cte691;gerencia 6;tiendita
cte692;gerencia 2 ;tiendita
cte693;gerencia 5;tiendita
cte694;gerencia 7;tiendita
cte695;gerencia 6;tiendita
cte696;gerencia 6;tiendita
cte697;gerencia 5;tiendita
cte698;gerencia 4;tiendita
cte699;gerencia 7;tiendita
cte700;gerencia 4;tiendita
cte701;gerencia 5;tiendita
cte702;gerencia 6;tiendita
cte703;gerencia 4;tiendita
cte704;gerencia 2 ;tiendita
cte705;gerencia 2 ;tiendita
cte706;gerencia 5;tiendita
cte707;gerencia 7;tiendita
cte708;gerencia 2 ;tiendita
cte709;gerencia 1;tiendita
cte710;gerencia 1;tiendita
cte711;gerencia 2 ;tiendita
cte712;gerencia 6;tiendita
cte713;gerencia 6;tiendita
cte714;gerencia 2 ;tiendita
cte715;gerencia 6;tiendita
cte716;gerencia 2 ;tiendita
cte717;gerencia 1;tiendita
cte718;gerencia 7;tiendita
cte339;gerencia 2 ;tiendita
cte719;gerencia 6;tiendita
cte720;gerencia 2 ;tiendita
cte721;gerencia 6;tiendita
cte25;gerencia 3;tiendita
cte722;gerencia 1;tiendita
cte723;gerencia 6;tiendita
cte724;gerencia 5;tiendita
cte725;gerencia 2 ;tiendita
cte726;gerencia 3;tiendita
cte727;gerencia 6;tiendita
cte728;gerencia 6;tiendita
cte729;gerencia 6;tiendita
cte730;gerencia 2 ;tiendita
cte731;gerencia 1;tiendita
cte732;gerencia 2 ;tiendita
cte733;gerencia 4;tiendita
cte734;gerencia 1;tiendita
cte702;gerencia 6;tiendita
cte735;gerencia 2 ;tiendita
cte736;gerencia 2 ;tiendita
cte737;gerencia 1;tiendita
cte738;gerencia 7;tiendita
cte739;gerencia 7;tiendita
cte740;gerencia 7;tiendita
cte741;gerencia 7;tiendita
cte742;gerencia 6;tiendita
cte743;gerencia 5;tiendita
cte744;gerencia 5;tiendita
cte745;gerencia 5;tiendita
cte746;gerencia 2 ;tiendita
cte747;gerencia 7;tiendita
cte748;gerencia 2 ;tiendita
cte749;gerencia 1;tiendita
cte750;gerencia 3;tiendita
cte751;gerencia 2 ;tiendita
cte752;gerencia 1;tiendita
cte753;gerencia 2 ;tiendita
cte754;gerencia 3;tiendita
cte755;gerencia 5;tiendita
cte756;gerencia 2 ;tiendita
cte757;gerencia 5;tiendita
cte758;gerencia 4;tiendita
cte759;gerencia 2 ;tiendita
cte760;gerencia 2 ;tiendita
cte761;gerencia 1;tiendita
cte762;gerencia 6;tiendita
cte763;gerencia 7;tiendita
cte764;gerencia 2 ;tiendita
cte765;gerencia 2 ;tiendita
cte766;gerencia 3;tiendita
cte767;gerencia 6;tiendita
cte768;gerencia 4;tiendita
cte769;gerencia 7;tiendita
cte770;gerencia 7;tiendita
cte771;gerencia 7;tiendita
cte772;gerencia 7;tiendita
cte773;gerencia 2 ;tiendita
cte774;gerencia 7;tiendita
cte775;gerencia 6;tiendita
cte776;gerencia 7;tiendita
cte777;gerencia 7;tiendita
cte778;gerencia 3;tiendita
cte779;gerencia 2 ;tiendita
cte780;gerencia 1;tiendita
cte781;gerencia 4;tiendita
cte782;gerencia 7;tiendita
cte783;gerencia 1;tiendita
cte784;gerencia 4;tiendita
cte785;gerencia 6;tiendita
cte786;gerencia 3;tiendita
cte787;gerencia 6;tiendita
cte788;gerencia 2 ;tiendita
cte789;gerencia 5;tiendita
cte790;gerencia 6;tiendita
cte791;gerencia 1;tiendita
cte792;gerencia 6;tiendita
cte793;gerencia 1;tiendita
cte794;gerencia 4;tiendita
cte302;gerencia 6;tiendita
cte795;gerencia 2 ;tiendita
cte796;gerencia 5;tiendita
cte797;gerencia 2 ;tiendita
cte798;gerencia 4;tiendita
cte799;gerencia 7;tiendita
cte800;gerencia 2 ;tiendita
cte801;gerencia 6;tiendita
cte802;gerencia 2 ;tiendita
cte803;gerencia 1;tiendita
cte804;gerencia 5;tiendita
cte805;gerencia 2 ;tiendita
cte806;gerencia 7;tiendita
cte807;gerencia 1;tiendita
cte808;gerencia 7;tiendita
cte809;gerencia 4;tiendita
cte810;gerencia 7;tiendita
cte811;gerencia 6;tiendita
cte812;gerencia 7;tiendita
cte813;gerencia 2 ;tiendita
cte814;gerencia 4;tiendita
cte815;gerencia 4;tiendita
cte816;gerencia 2 ;tiendita
cte817;gerencia 6;tiendita
cte818;gerencia 4;tiendita
cte819;gerencia 6;tiendita
cte820;gerencia 2 ;tiendita
cte821;gerencia 1;tiendita
cte822;gerencia 2 ;tiendita
cte823;gerencia 1;tiendita
cte824;gerencia 7;tiendita
cte825;gerencia 4;tiendita
cte826;gerencia 3;tiendita
cte827;gerencia 2 ;tiendita
cte828;gerencia 3;tiendita
cte829;gerencia 3;tiendita
cte830;gerencia 6;tiendita
cte831;gerencia 5;tiendita
cte832;gerencia 4;tiendita
cte833;gerencia 6;tiendita
cte834;gerencia 2 ;tiendita
cte835;gerencia 3;tiendita
cte836;gerencia 7;tiendita
cte837;gerencia 6;tiendita
